,City,Cloudiness,Country,Date,Humidity,Lat,Lng,Max Temp,Wind Speed
0,Batemans Bay,89,AU,1610412519,40,-35.7167,150.1833,84.99,4.0
1,Yellowknife,20,CA,1610412519,92,62.456,-114.3525,8.6,9.22
2,Khatanga,100,RU,1610412519,89,71.9667,102.5,-18.33,3.44
3,Yumbe,0,UG,1610412519,33,3.4651,31.2469,71.02,4.16
4,Ushuaia,75,AR,1610412519,76,-54.8,-68.3,46.4,13.8
5,Ilulissat,90,GL,1610412519,86,69.2167,-51.1,24.8,2.3
6,Ust-Kuyga,0,RU,1610412520,77,70.0167,135.6,-39.6,6.71
7,Arraial do Cabo,0,BR,1610412520,89,-22.9661,-42.0278,76.51,20.29
8,Barrow,90,US,1610412520,78,71.2906,-156.7887,1.4,26.46
9,Saint George,1,US,1610412476,25,37.1041,-113.5841,50.0,3.44
10,Esil,100,KZ,1610412520,96,51.9556,66.4042,13.86,9.01
11,Rikitea,15,PF,1610412520,75,-23.1203,-134.9692,78.4,19.44
12,Hasaki,75,JP,1610412521,93,35.7333,140.8333,41.0,9.22
13,Ponta do Sol,9,PT,1610412521,67,32.6667,-17.1,55.0,3.0
14,Punta Arenas,90,CL,1610412521,81,-53.15,-70.9167,44.6,34.52
15,Mizdah,99,LY,1610412521,67,31.4451,12.9801,56.66,8.41
16,Mar del Plata,75,AR,1610412268,72,-38.0023,-57.5575,63.0,14.97
17,Bützow,75,DE,1610412521,93,53.85,11.9833,39.99,12.66
18,Laas,0,IT,1610412521,53,46.6166,10.7002,15.8,8.05
19,Dori,0,BF,1610412522,20,14.0354,-0.0345,72.23,7.96
20,Russell,90,US,1610412327,87,32.3502,-85.1999,46.4,5.75
21,Bredasdorp,100,ZA,1610412522,94,-34.5322,20.0403,66.2,9.22
22,Cape Town,20,ZA,1610412399,73,-33.9258,18.4232,70.0,11.5
23,Mataura,0,NZ,1610412522,34,-46.1927,168.8643,74.89,1.77
24,Faanui,84,PF,1610412522,75,-16.4833,-151.75,81.68,21.5
25,Kimbe,91,PG,1610412522,62,-5.5502,150.1429,86.56,3.44
26,Bandarbeyla,13,SO,1610412523,73,9.4942,50.8122,71.22,20.74
27,eMkhomazi,100,ZA,1610412523,84,-30.2067,30.7978,75.99,3.24
28,Kotri,0,PK,1610412523,33,25.366,68.3122,54.32,5.61
29,Varhaug,40,NO,1610412523,100,58.6147,5.6457,32.0,3.44
30,Ruidoso,1,US,1610412523,64,33.3317,-105.673,28.4,5.75
31,Busselton,0,AU,1610412523,59,-33.65,115.3333,69.01,1.99
32,Vaini,75,TO,1610412524,79,-21.2,-175.2,86.0,11.5
33,Cocachacra,97,PE,1610412524,74,-17.0883,-71.7575,69.89,3.62
34,Narsaq,75,GL,1610412524,33,60.9167,-46.05,41.0,26.46
35,Tasiilaq,90,GL,1610412524,73,65.6145,-37.6368,17.6,2.3
36,Pemangkat,99,ID,1610412524,87,1.1667,108.9667,79.07,11.61
37,Longyearbyen,0,SJ,1610412524,79,78.2186,15.6401,17.6,3.44
38,Avarua,75,CK,1610412524,74,-21.2078,-159.775,84.2,14.97
39,Chui,100,UY,1610412525,93,-33.6971,-53.4616,70.74,7.36
40,Puerto Escondido,20,MX,1610412525,78,15.85,-97.0667,77.0,3.44
41,Atuona,2,PF,1610412525,80,-9.8,-139.0333,77.63,15.79
42,Carnarvon,90,AU,1610412525,83,-24.8667,113.6333,78.8,19.57
43,Tutóia,0,BR,1610412525,79,-2.7619,-42.2744,80.38,12.35
44,Mirante do Paranapanema,0,BR,1610412526,57,-22.2919,-51.9064,82.4,3.44
45,Hobyo,26,SO,1610412526,75,5.3505,48.5268,74.17,20.54
46,Muhafazat Lahij,61,YE,1610412526,79,13.1667,44.5833,66.45,9.06
47,Tual,1,ID,1610412526,71,-5.6667,132.75,84.36,3.04
48,Bengkulu,100,ID,1610412526,94,-3.8004,102.2655,75.42,13.18
